location,size,total_sqft,bath,price,bhk,price_per_sqft
Koramangala,3 BHK,1835.0,2.0,155.0,3,8446
Hoodi,4 BHK,2090.0,4.0,95.1,4,4550
Lingadheeranahalli,3 BHK,1519.0,3.0,93.0,3,6122
Dommasandra,3 BHK,1267.0,3.0,56.0,3,4419
Sanjay nagar,2 BHK,1150.0,2.0,72.2,2,6278
Marathahalli,2 BHK,1146.0,2.0,70.0,2,6108
other,8 Bedroom,1200.0,7.0,235.0,8,19583
Kannamangala,3 BHK,1550.0,3.0,65.0,3,4193
Chandapura,2 BHK,850.0,1.0,18.5,2,2176
other,3 BHK,2200.0,3.0,187.0,3,8500
other,3 Bedroom,3329.0,3.0,330.0,3,9912
Electronics City Phase 1,1 BHK,785.0,1.0,55.0,1,7006
Hebbal Kempapura,3 BHK,2900.0,4.0,300.0,3,10344
Raja Rajeshwari Nagar,3 BHK,1610.0,3.0,74.0,3,4596
Bellandur,2 BHK,921.0,2.0,40.0,2,4343
Kengeri Satellite Town,3 Bedroom,850.0,3.0,95.0,3,11176
Bannerghatta Road,5 Bedroom,2700.0,5.0,158.0,5,5851
Sarjapur  Road,3 BHK,1700.0,3.0,110.0,3,6470
Sarjapur,2 BHK,1020.0,2.0,35.0,2,3431
Billekahalli,2 BHK,1090.0,2.0,52.0,2,4770
other,4 Bedroom,3600.0,4.0,300.0,4,8333
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Thanisandra,2 BHK,1185.0,2.0,42.1,2,3552
Doddathoguru,2 BHK,850.0,2.0,25.0,2,2941
Harlur,2 BHK,1197.0,2.0,84.0,2,7017
other,4 BHK,3500.0,3.0,450.0,4,12857
Poorna Pragna Layout,2 BHK,920.0,2.0,39.55,2,4298
Raja Rajeshwari Nagar,2 BHK,1105.0,2.0,65.0,2,5882
Yeshwanthpur,3 BHK,1850.0,3.0,100.0,3,5405
Judicial Layout,3 BHK,1300.0,3.0,64.0,3,4923
other,3 BHK,1595.0,3.0,76.0,3,4764
Kodihalli,4 BHK,3073.0,5.0,696.0,4,22648
Horamavu Agara,2 BHK,755.0,2.0,37.49,2,4965
Nagasandra,5 Bedroom,4050.0,5.0,140.0,5,3456
Kanakpura Road,3 BHK,1300.0,2.0,69.0,3,5307
Bannerghatta Road,2 BHK,1215.0,2.0,50.0,2,4115
Kanakpura Road,2 BHK,900.0,2.0,46.0,2,5111
Banashankari Stage III,2 BHK,1145.0,2.0,58.4,2,5100
other,2 BHK,1093.0,2.0,65.0,2,5946
Babusapalaya,3 BHK,1213.0,2.0,41.39,3,3412
Bannerghatta Road,3 BHK,1654.0,3.0,100.0,3,6045
NGR Layout,2 BHK,1105.0,2.0,52.48,2,4749
Babusapalaya,3 BHK,1611.0,2.0,66.0,3,4096
other,2 BHK,1367.0,2.0,62.0,2,4535
Devanahalli,2 BHK,1010.0,2.0,51.0,2,5049
other,3 Bedroom,750.0,2.0,75.0,3,10000
other,3 BHK,1535.0,3.0,95.0,3,6188
Anekal,2 BHK,620.0,2.0,22.0,2,3548
Horamavu Agara,2 BHK,982.0,2.0,47.65,2,4852
Banashankari Stage II,2 BHK,1700.0,2.0,150.0,2,8823
Whitefield,2 BHK,1330.0,2.0,71.0,2,5338
JP Nagar,3 Bedroom,2500.0,3.0,135.0,3,5400
Poorna Pragna Layout,3 BHK,1475.0,2.0,58.99,3,3999
Bhoganhalli,3 BHK,1410.0,3.0,65.0,3,4609
Yelahanka New Town,1 BHK,440.0,1.0,16.5,1,3750
Yelahanka,3 BHK,1614.0,3.0,95.0,3,5885
Neeladri Nagar,2 BHK,1363.0,2.0,68.0,2,4988
Kogilu,2 Bedroom,650.0,2.0,28.0,2,4307
other,2 BHK,1015.0,2.0,45.0,2,4433
Horamavu Banaswadi,2 BHK,1156.0,2.0,46.0,2,3979
other,2 BHK,1100.0,2.0,62.7,2,5700
KR Puram,3 BHK,1455.0,3.0,46.0,3,3161
other,2 BHK,930.0,2.0,45.0,2,4838
other,3 BHK,1650.0,2.0,80.0,3,4848
KR Puram,2 Bedroom,1200.0,2.0,90.0,2,7500
other,1 Bedroom,700.0,1.0,150.0,1,21428
Karuna Nagar,4 BHK,2900.0,3.0,135.0,4,4655
Kadugodi,3 BHK,1890.0,4.0,127.0,3,6719
other,3 BHK,2197.0,4.0,280.0,3,12744
Hebbal Kempapura,3 BHK,3522.0,3.0,380.0,3,10789
other,3 BHK,1240.0,2.0,46.0,3,3709
HRBR Layout,2 BHK,1440.0,2.0,98.0,2,6805
Kodichikkanahalli,1 BHK,650.0,1.0,38.0,1,5846
Budigere,1 BHK,764.0,1.0,32.0,1,4188
Sector 7 HSR Layout,5 Bedroom,900.0,4.0,90.0,5,10000
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389
Hoodi,3 BHK,1445.0,3.0,65.0,3,4498
Kanakpura Road,2 BHK,900.0,1.0,45.0,2,5000
Singasandra,2 BHK,1030.0,2.0,55.0,2,5339
Yelahanka,3 BHK,1381.0,2.0,52.48,3,3800
other,2 BHK,1100.0,2.0,60.0,2,5454
Hoodi,3 BHK,1575.0,3.0,66.39,3,4215
Thigalarapalya,2 Bedroom,1200.0,2.0,65.0,2,5416
Begur Road,2 BHK,1200.0,2.0,43.2,2,3600
Kasturi Nagar,2 BHK,1080.0,2.0,80.0,2,7407
Hebbal Kempapura,5 Bedroom,2280.0,5.0,200.0,5,8771
Akshaya Nagar,3 BHK,1360.0,2.0,85.0,3,6250
Jakkur,3 BHK,1865.0,3.0,124.0,3,6648
Sarjapur  Road,3 BHK,1157.0,2.0,75.0,3,6482
Kammasandra,2 BHK,674.0,2.0,29.0,2,4302
Whitefield,3 BHK,1405.0,2.0,78.0,3,5551
Begur Road,2 BHK,1160.0,2.0,44.08,2,3800
other,4 Bedroom,1600.0,3.0,172.0,4,10750
Hebbal,3 BHK,1790.0,3.0,127.0,3,7094
Electronic City,2 BHK,1128.0,2.0,65.65,2,5820
Panathur,2 BHK,1180.0,2.0,70.0,2,5932
other,3 BHK,1450.0,2.0,85.0,3,5862
Kengeri,1 BHK,340.0,1.0,10.0,1,2941
other,4 Bedroom,2000.0,3.0,166.0,4,8300
Rachenahalli,2 BHK,1050.0,2.0,53.5,2,5095
Varthur,2 BHK,1125.0,2.0,40.0,2,3555
Vittasandra,2 BHK,1246.0,2.0,68.0,2,5457
HSR Layout,2 BHK,1372.0,2.0,61.0,2,4446
Uttarahalli,3 BHK,1330.0,2.0,56.0,3,4210
Binny Pete,3 BHK,2465.0,5.0,234.0,3,9492
Dasarahalli,2 BHK,1300.0,2.0,55.0,2,4230
other,2 Bedroom,1420.0,1.0,220.0,2,15492
Bannerghatta,4 Bedroom,810.0,4.0,50.0,4,6172
Channasandra,2 BHK,1065.0,2.0,35.0,2,3286
other,2 BHK,700.0,2.0,27.0,2,3857
Hebbal,2 BHK,687.325,2.0,42.72,2,6215
other,2 BHK,1050.0,2.0,45.0,2,4285
other,3 BHK,1250.0,3.0,39.5,3,3160
Electronic City,2 BHK,865.0,2.0,42.0,2,4855
Uttarahalli,2 BHK,1200.0,2.0,44.0,2,3666
other,3 BHK,1756.0,3.0,100.0,3,5694
Malleshwaram,9 Bedroom,750.0,8.0,150.0,9,20000
Yelahanka,1 BHK,628.0,1.0,24.0,1,3821
9th Phase JP Nagar,7 Bedroom,1200.0,6.0,195.0,7,16250
5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219
Kalena Agrahara,3 BHK,1765.0,3.0,125.0,3,7082
Electronic City,2 BHK,1130.0,2.0,32.64,2,2888
other,3 BHK,1532.0,3.0,92.0,3,6005
other,3 BHK,1650.0,3.0,110.0,3,6666
Horamavu Banaswadi,4 Bedroom,1200.0,4.0,105.0,4,8750
Bhoganhalli,2 BHK,804.1,2.0,69.09,2,8592
Doddathoguru,2 BHK,1200.0,2.0,75.0,2,6250
Kengeri,2 BHK,1197.0,2.0,50.0,2,4177
other,2 BHK,1200.0,2.0,66.0,2,5500
Uttarahalli,3 BHK,1385.0,2.0,48.48,3,3500
other,2 BHK,1010.0,2.0,148.0,2,14653
Whitefield,3 BHK,2225.0,3.0,115.0,3,5168
other,2 BHK,1180.0,2.0,48.0,2,4067
other,3 BHK,1525.0,2.0,122.0,3,8000
Ananth Nagar,2 BHK,1100.0,2.0,31.5,2,2863
other,3 BHK,1435.0,3.0,70.0,3,4878
Attibele,1 BHK,400.0,1.0,14.0,1,3500
Dommasandra,2 BHK,1200.0,2.0,50.0,2,4166
Whitefield,2 BHK,1272.0,2.0,95.05,2,7472
Whitefield,2 BHK,1205.0,2.0,39.0,2,3236
Kalena Agrahara,2 BHK,980.0,2.0,40.0,2,4081
Malleshpalya,2 BHK,1225.0,2.0,46.86,2,3825
Whitefield,3 BHK,1541.0,3.0,72.0,3,4672
Ramagondanahalli,3 BHK,1610.0,2.0,111.0,3,6894
Jalahalli,2 BHK,1694.0,2.0,125.0,2,7378
other,3 Bedroom,600.0,3.0,75.0,3,12500
Kaggalipura,2 BHK,950.0,2.0,39.0,2,4105
other,3 BHK,1560.0,2.0,66.0,3,4230
Chandapura,2 BHK,1201.0,2.0,27.0,2,2248
Chandapura,2 Bedroom,1500.0,2.0,60.0,2,4000
Malleshpalya,3 BHK,1785.0,3.0,75.0,3,4201
Raja Rajeshwari Nagar,2 BHK,1258.0,2.0,63.53,2,5050
Electronic City,2 BHK,910.0,2.0,42.0,2,4615
Thigalarapalya,2 BHK,1297.0,2.0,112.0,2,8635
Kundalahalli,2 BHK,1291.0,2.0,49.0,2,3795
other,2 BHK,1070.0,2.0,42.0,2,3925
Varthur,2 BHK,1012.0,2.0,66.5,2,6571
Mahadevpura,2 BHK,1260.0,2.0,57.6,2,4571
Sarjapur  Road,2 BHK,1282.0,2.0,72.0,2,5616
Kanakpura Road,3 BHK,1843.0,3.0,92.15,3,5000
other,4 Bedroom,2400.0,3.0,200.0,4,8333
Chikka Tirupathi,5 Bedroom,3356.0,5.0,105.0,5,3128
Hebbal,4 BHK,2790.0,5.0,198.0,4,7096
EPIP Zone,2 BHK,1330.0,2.0,86.98,2,6539
Konanakunte,3 BHK,1400.0,2.0,73.0,3,5214
Whitefield,2 BHK,1192.0,2.0,71.0,2,5956
other,2 BHK,1000.0,2.0,130.0,2,13000
Thigalarapalya,2 BHK,1297.0,2.0,103.0,2,7941
Sarjapur  Road,1 BHK,615.0,1.0,17.835,1,2900
Vijayanagar,3 BHK,1490.0,3.0,100.0,3,6711
Rayasandra,3 BHK,1373.0,3.0,72.0,3,5243
7th Phase JP Nagar,2 BHK,1035.0,2.0,41.39,2,3999
Kadugodi,4 Bedroom,3750.0,4.0,210.0,4,5600
Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999
Sarjapur,2 BHK,1195.0,2.0,42.0,2,3514
HSR Layout,3 BHK,1750.0,3.0,95.0,3,5428
Malleshpalya,2 BHK,1052.0,2.0,50.0,2,4752
Horamavu Banaswadi,2 BHK,1180.0,2.0,58.0,2,4915
Padmanabhanagar,5 Bedroom,3680.0,4.0,440.0,5,11956
Hormavu,3 BHK,2100.0,3.0,73.0,3,3476
Hoodi,4 Bedroom,2863.0,4.0,140.0,4,4889
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,38.24,2,3390
Ulsoor,3 BHK,2700.0,3.0,450.0,3,16666
JP Nagar,2 BHK,1120.0,2.0,33.6,2,3000
HSR Layout,3 BHK,2424.0,3.0,90.0,3,3712
other,2 BHK,1300.0,2.0,60.0,2,4615
Kanakapura,2 BHK,1090.0,2.0,32.69,2,2999
Yelahanka,3 Bedroom,2710.0,3.0,251.0,3,9261
other,2 Bedroom,3040.0,1.0,180.0,2,5921
Uttarahalli,3 BHK,1330.0,2.0,46.55,3,3500
Hosur Road,3 BHK,1427.0,2.0,80.63,3,5650
Banjara Layout,3 BHK,1294.0,2.0,48.0,3,3709
Begur,3 BHK,1580.0,3.0,75.0,3,4746
Uttarahalli,5 Bedroom,400.0,5.0,200.0,5,50000
Chikka Tirupathi,3 Bedroom,1808.0,4.0,80.27,3,4439
Rajaji Nagar,4 BHK,3516.0,4.0,540.0,4,15358
Parappana Agrahara,2 BHK,1194.0,2.0,47.0,2,3936
Kanakpura Road,2 BHK,900.0,2.0,46.0,2,5111
other,3 BHK,1310.0,2.0,50.0,3,3816
Kanakpura Road,2 BHK,900.0,2.0,46.0,2,5111
Singasandra,4 Bedroom,3850.0,6.0,195.0,4,5064
Kogilu,7 Bedroom,925.0,7.0,88.0,7,9513
Yelachenahalli,2 BHK,2400.0,1.0,150.0,2,6250
Koramangala,2 BHK,1290.0,2.0,100.0,2,7751
Yelahanka,6 Bedroom,3770.0,6.0,110.0,6,2917
other,3 BHK,1390.0,3.0,120.0,3,8633
other,4 Bedroom,1200.0,4.0,72.0,4,6000
Bisuvanahalli,2 BHK,845.0,2.0,33.0,2,3905
Yelahanka,3 BHK,1537.0,3.0,120.0,3,7807
other,2 BHK,1135.0,2.0,68.0,2,5991
Hoodi,3 BHK,1512.0,3.0,75.77,3,5011
other,2 BHK,900.0,2.0,55.0,2,6111
Jigani,3 BHK,1230.0,3.0,54.0,3,4390
other,3 BHK,1378.0,2.0,42.33,3,3071
Whitefield,2 BHK,1277.0,2.0,61.3,2,4800
Hebbal,3 BHK,1985.0,4.0,189.0,3,9521
Kengeri,5 Bedroom,8000.0,5.0,500.0,5,6250
other,2 BHK,1210.0,2.0,62.0,2,5123
Yelahanka,2 BHK,890.0,2.0,40.0,2,4494
JP Nagar,9 Bedroom,2550.0,9.0,360.0,9,14117
Sarjapur,4 Bedroom,1200.0,5.0,110.0,4,9166
Ardendale,4 BHK,3198.0,4.0,200.0,4,6253
other,3 BHK,1464.0,3.0,56.0,3,3825
Hebbal,4 BHK,2483.0,5.0,215.0,4,8658
Begur,4 Bedroom,1550.0,4.0,130.0,4,8387
Sarjapur  Road,4 BHK,4111.0,4.0,310.0,4,7540
Electronic City,2 BHK,975.0,2.0,37.5,2,3846
other,3 BHK,2500.0,3.0,250.0,3,10000
Rajiv Nagar,3 BHK,1690.0,3.0,125.0,3,7396
Hosa Road,2 BHK,1063.0,2.0,31.89,2,3000
Cooke Town,3 Bedroom,2572.0,3.0,390.0,3,15163
other,3 BHK,2200.0,4.0,350.0,3,15909
other,3 BHK,1600.0,3.0,80.0,3,5000
other,3 BHK,1250.0,3.0,39.5,3,3160
Bommanahalli,1 BHK,520.0,1.0,19.5,1,3750
Marathahalli,4 BHK,4000.0,5.0,212.0,4,5300
Munnekollal,3 BHK,1390.0,3.0,68.0,3,4892
Whitefield,2 BHK,1185.0,2.0,40.0,2,3375
Sahakara Nagar,2 BHK,1219.0,2.0,48.0,2,3937
Kudlu Gate,3 BHK,1564.0,2.0,92.0,3,5882
Sarjapur  Road,4 BHK,3430.0,6.0,228.5,4,6661
Hosa Road,2 BHK,1100.0,2.0,37.1,2,3372
Kothannur,3 BHK,1300.0,2.0,60.0,3,4615
Chikkabanavar,3 Bedroom,1600.0,2.0,80.0,3,5000
Ramamurthy Nagar,3 Bedroom,1600.0,3.0,75.0,3,4687
Hennur Road,3 BHK,1482.0,2.0,92.0,3,6207
Marsur,3 Bedroom,1000.0,4.0,66.0,3,6600
Shampura,2 BHK,1200.0,2.0,53.0,2,4416
Gubbalala,3 Bedroom,600.0,3.0,75.0,3,12500
Kengeri,2 BHK,1200.0,2.0,58.0,2,4833
Kereguddadahalli,6 Bedroom,600.0,4.0,60.0,6,10000
Nagarbhavi,3 Bedroom,2400.0,3.0,160.0,3,6666
Marathahalli,3 BHK,1469.0,3.0,89.0,3,6058
Kanakapura,1 BHK,551.0,1.0,30.0,1,5444
Electronics City Phase 1,2 BHK,1160.0,2.0,52.0,2,4482
Balagere,2 BHK,1205.0,2.0,78.5,2,6514
Kasavanhalli,3 BHK,1550.0,2.0,52.0,3,3354
Gubbalala,3 BHK,1745.0,3.0,125.0,3,7163
AECS Layout,2 BHK,1028.0,2.0,42.0,2,4085
Frazer Town,3 BHK,1700.0,3.0,180.0,3,10588
Karuna Nagar,3 BHK,1200.0,2.0,34.0,3,2833
Kodihalli,3 BHK,2700.0,4.0,270.0,3,10000
other,2 BHK,1100.0,2.0,50.0,2,4545
Ramamurthy Nagar,2 Bedroom,1200.0,3.0,72.0,2,6000
other,2 BHK,1269.72,2.0,68.0,2,5355
Electronic City Phase II,2 BHK,1266.0,2.0,59.0,2,4660
Mysore Road,2 BHK,1060.0,2.0,62.0,2,5849
other,3 Bedroom,1168.0,3.0,70.0,3,5993
other,2 BHK,1552.0,2.0,51.0,2,3286
Talaghattapura,3 BHK,2038.5,3.0,120.0,3,5886
Attibele,1 BHK,500.0,1.0,17.0,1,3400
Hulimavu,2 BHK,1080.0,2.0,43.2,2,4000
other,4 Bedroom,2100.0,4.0,155.0,4,7380
other,2 BHK,1300.0,2.0,65.0,2,5000
Electronics City Phase 1,2 BHK,920.0,2.0,33.0,2,3586
other,4 Bedroom,817.0,2.0,120.0,4,14687
Harlur,2 BHK,1310.0,2.0,50.0,2,3816
Horamavu Agara,3 BHK,1650.0,2.0,75.0,3,4545
other,3 BHK,1515.0,3.0,93.93,3,6200
Raja Rajeshwari Nagar,2 BHK,1157.0,2.0,53.8,2,4649
other,4 BHK,2400.0,5.0,85.0,4,3541
Konanakunte,4 BHK,3000.0,4.0,160.0,4,5333
Basavangudi,3 BHK,2200.0,2.0,162.0,3,7363
other,2 BHK,1243.0,2.0,58.0,2,4666
Rachenahalli,3 BHK,1530.0,2.0,74.39,3,4862
Judicial Layout,3 BHK,2070.0,3.0,162.0,3,7826
Yelahanka,3 BHK,1815.0,3.0,82.0,3,4517
Sarjapur  Road,4 BHK,3900.0,4.0,300.0,4,7692
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
Ananth Nagar,2 BHK,982.0,2.0,24.55,2,2500
Hennur Road,2 BHK,1232.0,2.0,89.0,2,7224
Binny Pete,3 BHK,1282.0,3.0,178.0,3,13884
Yelahanka,1 BHK,654.0,1.0,38.4,1,5871
Bannerghatta Road,2 BHK,1181.0,2.0,55.0,2,4657
Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,245.0,4,20416
other,3 BHK,1616.0,3.0,75.0,3,4641
other,5 Bedroom,1800.0,6.0,44.5,5,2472
other,6 Bedroom,1200.0,4.0,135.0,6,11250
Whitefield,3 BHK,1306.0,3.0,54.65,3,4184
Whitefield,3 BHK,1626.0,3.0,89.0,3,5473
other,6 BHK,2700.0,4.0,214.0,6,7925
Whitefield,3 BHK,1585.0,3.0,88.0,3,5552
7th Phase JP Nagar,2 BHK,1370.0,2.0,56.17,2,4100
Whitefield,5 Bedroom,3250.0,5.0,900.0,5,27692
Kanakpura Road,2 BHK,1495.0,2.0,90.0,2,6020
other,3 BHK,2000.0,3.0,210.0,3,10500
other,5 Bedroom,2400.0,4.0,300.0,5,12500
Bannerghatta,3 Bedroom,1375.0,3.0,57.0,3,4145
Old Madras Road,4 BHK,3715.0,6.0,224.5,4,6043
Kereguddadahalli,3 BHK,1400.0,2.0,48.0,3,3428
Kadugodi,5 BHK,1100.0,5.0,135.0,5,12272
Hebbal Kempapura,4 Bedroom,1200.0,4.0,215.0,4,17916
Yelahanka,2 BHK,1150.0,2.0,46.0,2,4000
Hebbal,2 BHK,1080.0,2.0,54.0,2,5000
Kaikondrahalli,3 BHK,1645.0,3.0,100.0,3,6079
other,3 BHK,1760.0,3.0,176.0,3,10000
other,1 BHK,595.0,1.0,42.0,1,7058
Bommenahalli,3 Bedroom,1200.0,3.0,125.0,3,10416
JP Nagar,4 BHK,4624.5,4.0,314.5,4,6800
other,2 BHK,1410.0,2.0,67.0,2,4751
other,2 BHK,1090.0,2.0,31.48,2,2888
Ramagondanahalli,1 Bedroom,540.0,1.0,30.0,1,5555
Sarjapur  Road,2 BHK,1300.0,2.0,60.0,2,4615
9th Phase JP Nagar,3 BHK,1890.0,2.0,85.0,3,4497
other,2 BHK,1254.0,2.0,53.0,2,4226
other,7 Bedroom,2800.0,7.0,125.0,7,4464
Ulsoor,2 BHK,1275.0,2.0,120.0,2,9411
Kathriguppe,3 BHK,1245.0,2.0,68.48,3,5500
other,2 BHK,1170.0,2.0,86.0,2,7350
Panathur,2 BHK,1193.0,2.0,86.0,2,7208
Chandapura,2 BHK,850.0,2.0,25.4,2,2988
Marathahalli,3 BHK,1678.0,3.0,70.0,3,4171
Gunjur,3 BHK,1600.0,3.0,75.0,3,4687
Electronics City Phase 1,3 BHK,1750.0,3.0,84.0,3,4800
Whitefield,2 BHK,1125.0,2.0,62.0,2,5511
other,4 Bedroom,2200.0,4.0,235.0,4,10681
HBR Layout,3 BHK,2800.0,2.0,200.0,3,7142
R.T. Nagar,2 Bedroom,1200.0,2.0,120.0,2,10000
other,2 BHK,1000.0,2.0,50.0,2,5000
other,4 BHK,2780.0,5.0,480.0,4,17266
Electronic City Phase II,3 BHK,1320.0,2.0,38.13,3,2888
other,27 BHK,8000.0,27.0,230.0,27,2875
Ardendale,4 BHK,2422.0,4.0,160.0,4,6606
Kasavanhalli,2 BHK,1100.0,2.0,50.0,2,4545
Uttarahalli,2 BHK,882.0,2.0,30.0,2,3401
Bisuvanahalli,2 BHK,845.0,2.0,37.0,2,4378
Kambipura,2 BHK,883.0,2.0,39.0,2,4416
Brookefield,3 BHK,1595.0,3.0,88.0,3,5517
Whitefield,2 BHK,1280.0,2.0,85.0,2,6640
other,4 Bedroom,1700.0,2.0,550.0,4,32352
other,2 BHK,920.0,2.0,35.0,2,3804
Choodasandra,2 BHK,1300.0,2.0,57.0,2,4384
other,2 BHK,1450.0,1.0,230.0,2,15862
Harlur,3 BHK,1757.0,3.0,132.0,3,7512
Anekal,1 BHK,600.0,1.0,16.5,1,2750
other,4 Bedroom,2400.0,3.0,142.0,4,5916
Sarjapur,2 BHK,1240.0,2.0,44.0,2,3548
other,10 Bedroom,750.0,10.0,90.0,10,12000
EPIP Zone,2 BHK,1330.0,2.0,93.36,2,7019
8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999
JP Nagar,2 BHK,1078.0,2.0,45.0,2,4174
Bannerghatta Road,3 BHK,1460.0,2.0,72.0,3,4931
Whitefield,3 Bedroom,1200.0,3.0,68.5,3,5708
Laggere,1 BHK,1200.0,1.0,48.0,1,4000
Kammasandra,3 BHK,912.0,2.0,39.0,3,4276
other,5 Bedroom,2400.0,5.0,625.0,5,26041
Prithvi Layout,4 Bedroom,2028.0,4.0,162.0,4,7988
Mysore Road,2 BHK,980.0,2.0,45.47,2,4639
Sarjapur  Road,2 BHK,1000.0,2.0,40.0,2,4000
Sarjapur  Road,2 BHK,1050.0,2.0,62.0,2,5904
Bannerghatta,3 Bedroom,2611.0,3.0,239.0,3,9153
Domlur,3 BHK,1875.0,2.0,150.0,3,8000
Hennur Road,2 BHK,1065.0,2.0,42.6,2,4000
Sanjay nagar,3 BHK,1800.0,3.0,180.0,3,10000
Sector 7 HSR Layout,2 BHK,1163.0,2.0,98.86,2,8500
Tumkur Road,2 BHK,1098.0,2.0,72.0,2,6557
5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797
Whitefield,4 Bedroom,4000.0,4.0,330.0,4,8250
Thubarahalli,2 BHK,1128.0,2.0,75.0,2,6648
other,8 Bedroom,1320.0,6.0,200.0,8,15151
Yelahanka,3 BHK,1705.0,3.0,74.16,3,4349
Thigalarapalya,2 BHK,1418.0,2.0,95.0,2,6699
Ramamurthy Nagar,3 Bedroom,1500.0,3.0,160.0,3,10666
Hebbal,2 BHK,1100.0,2.0,50.0,2,4545
other,3 BHK,1464.0,3.0,56.0,3,3825
Hebbal,2 BHK,812.0,2.0,55.0,2,6773
other,2 BHK,1280.0,2.0,40.0,2,3125
Whitefield,2 BHK,1420.0,2.0,136.0,2,9577
other,11 Bedroom,1200.0,11.0,170.0,11,14166
other,6 Bedroom,727.0,6.0,66.0,6,9078
Banashankari Stage II,4 Bedroom,1200.0,2.0,150.0,4,12500
Old Airport Road,4 BHK,2774.0,4.0,207.0,4,7462
other,3 BHK,2000.0,3.0,85.0,3,4250
HBR Layout,3 BHK,1722.0,3.0,95.0,3,5516
Indira Nagar,3 BHK,2800.0,3.0,330.0,3,11785
other,3 BHK,1650.0,3.0,175.0,3,10606
other,2 BHK,840.0,2.0,27.0,2,3214
Jigani,2 BHK,914.0,2.0,47.0,2,5142
Hennur Road,3 BHK,1482.0,2.0,83.73,3,5649
Kundalahalli,3 BHK,1724.0,3.0,127.0,3,7366
other,3 BHK,1670.0,3.0,91.86,3,5500
Banaswadi,2 BHK,1184.0,2.0,53.0,2,4476
Kodigehaali,2 BHK,1200.0,2.0,55.0,2,4583
TC Palaya,2 Bedroom,1200.0,2.0,65.0,2,5416
Jigani,2 BHK,927.0,2.0,55.0,2,5933
other,2 BHK,1242.0,2.0,39.7,2,3196
Electronic City Phase II,3 BHK,1220.0,3.0,35.23,3,2887
Electronic City,3 BHK,1360.0,2.0,75.0,3,5514
Brookefield,4 Bedroom,2800.0,4.0,240.0,4,8571
7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101
Whitefield,3 BHK,1697.0,3.0,108.0,3,6364
Yelahanka New Town,2 BHK,550.0,2.0,26.0,2,4727
Hennur,2 BHK,1225.0,2.0,57.0,2,4653
other,3 BHK,1690.0,2.0,55.0,3,3254
other,10 Bedroom,1660.0,10.0,475.0,10,28614
other,3 BHK,1488.0,3.0,57.0,3,3830
other,3 BHK,1250.0,2.0,80.0,3,6400
JP Nagar,1 BHK,1050.0,1.0,44.0,1,4190
HSR Layout,2 BHK,1027.0,2.0,44.0,2,4284
Kanakpura Road,3 BHK,1699.0,3.0,81.94,3,4822
Whitefield,2 BHK,1205.0,2.0,58.0,2,4813
other,4 Bedroom,712.0,2.0,67.5,4,9480
Horamavu Agara,2 BHK,950.0,2.0,39.0,2,4105
TC Palaya,2 Bedroom,1200.0,2.0,70.0,2,5833
Akshaya Nagar,3 BHK,1476.0,3.0,120.0,3,8130
CV Raman Nagar,2 BHK,1070.0,2.0,55.0,2,5140
EPIP Zone,3 BHK,2160.0,4.0,172.0,3,7962
Sector 2 HSR Layout,2 BHK,1296.0,2.0,75.0,2,5787
Chikkalasandra,2 Bedroom,1800.0,1.0,128.0,2,7111
Kanakpura Road,3 BHK,1570.0,3.0,64.5,3,4108
Koramangala,2 BHK,1300.0,2.0,110.0,2,8461
Sarjapur,4 BHK,1550.0,2.0,65.0,4,4193
Electronic City,2 BHK,770.0,1.0,40.0,2,5194
Jalahalli,3 BHK,1870.0,3.0,110.0,3,5882
other,3 Bedroom,1650.0,4.0,160.0,3,9696
Domlur,3 BHK,1429.0,3.0,86.0,3,6018
Babusapalaya,3 BHK,1167.0,2.0,39.98,3,3425
Bommasandra,2 BHK,1035.0,2.0,41.73,2,4031
Kengeri,3 BHK,1188.0,2.0,38.0,3,3198
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,285.0,5,23750
Nagarbhavi,1 BHK,884.0,2.0,36.0,1,4072
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852
Hoodi,2 BHK,1026.0,2.0,60.87,2,5932
Shivaji Nagar,7 Bedroom,1400.0,6.0,200.0,7,14285
Kaikondrahalli,2 BHK,1115.0,2.0,50.0,2,4484
Hebbal Kempapura,2 Bedroom,1200.0,2.0,125.0,2,10416
Old Airport Road,4 BHK,2690.0,4.0,191.0,4,7100
Subramanyapura,2 BHK,975.0,2.0,58.0,2,5948
Hosa Road,3 Bedroom,675.0,3.0,72.5,3,10740
Chamrajpet,4 BHK,1900.0,2.0,170.0,4,8947
Banashankari,3 Bedroom,600.0,3.0,100.0,3,16666
